Company Name,Website,Category,Location,Keywords
Google,https://google.com,Technology,Mountain View CA,AI search cloud
Microsoft,https://microsoft.com,Technology,Redmond WA,cloud software enterprise
Tesla,https://tesla.com,Electric Vehicles,Austin TX,EV automotive energy
Amazon,https://amazon.com,E-Commerce,Seattle WA,cloud logistics retail
Apple,https://apple.com,Technology,Cupertino CA,consumer electronics hardware
Meta,https://meta.com,Social Media,Menlo Park CA,social network AR VR
NVIDIA,https://nvidia.com,Semiconductors,Santa Clara CA,GPU AI chips
OpenAI,https://openai.com,Artificial Intelligence,San Francisco CA,LLM GPT AI
Salesforce,https://salesforce.com,Cloud Software,San Francisco CA,CRM enterprise SaaS
Adobe,https://adobe.com,Software,San Jose CA,creative cloud design tools
